Day,UID,Condition,I am satisfied with my current level of physical activity.,I am a physically active person.,I am committed to my physical activity goal.,How hopeful are you about your physical health today?,How was your mood today?,I am satisfied with my current level of physical activity._num,I am a physically active person._num,I am committed to my physical activity goal._num,How hopeful are you about your physical health today?_num,How was your mood today?_num
8,P1,C,Disagree,Strongly disagree,Agree,Very hopeful,Neither pleasant nor unpleasant,2.0,1.0,4.0,5.0,3.0
9,P1,C,Disagree,Strongly disagree,Agree,Hopeful,Very pleasant,2.0,1.0,4.0,4.0,5.0
10,P1,C,Disagree,Strongly disagree,Neither agree nor disagree,Hopeful,Pleasant,2.0,1.0,3.0,4.0,4.0
11,P1,C,Strongly disagree,Strongly disagree,Disagree,Neither hopeful nor hopeless,Unpleasant,1.0,1.0,2.0,3.0,2.0
13,P1,C,Disagree,Strongly disagree,Neither agree nor disagree,Hopeful,Very pleasant,2.0,1.0,3.0,4.0,5.0
14,P1,C,Strongly disagree,Strongly disagree,Neither agree nor disagree,Hopeful,Pleasant,1.0,1.0,3.0,4.0,4.0
15,P1,C,Disagree,Strongly disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,2.0,1.0,3.0,3.0,4.0
16,P1,C,Disagree,Disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Very pleasant,2.0,2.0,3.0,3.0,5.0
17,P1,C,Strongly disagree,Disagree,Neither agree nor disagree,Hopeful,Very pleasant,1.0,2.0,3.0,4.0,5.0
18,P1,C,Disagree,Disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,2.0,2.0,3.0,3.0,4.0
19,P1,C,Disagree,Disagree,Neither agree nor disagree,Hopeful,Pleasant,2.0,2.0,3.0,4.0,4.0
20,P1,C,Disagree,Strongly disagree,Disagree,Hopeful,Pleasant,2.0,1.0,2.0,4.0,4.0
21,P1,C,Disagree,Strongly disagree,Strongly disagree,Neither hopeful nor hopeless,Very unpleasant,2.0,1.0,1.0,3.0,5.0
22,P1,C,Disagree,Disagree,Agree,Hopeful,Very pleasant,2.0,2.0,4.0,4.0,5.0
23,P1,C,Disagree,Disagree,Agree,Hopeful,Pleasant,2.0,2.0,4.0,4.0,4.0
24,P1,C,Disagree,Strongly disagree,Agree,Hopeful,Pleasant,2.0,1.0,4.0,4.0,4.0
25,P1,C,Disagree,Disagree,Neither agree nor disagree,Hopeful,Pleasant,2.0,2.0,3.0,4.0,4.0
26,P1,C,Disagree,Disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,2.0,2.0,3.0,3.0,4.0
27,P1,C,Strongly disagree,Disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,1.0,2.0,3.0,3.0,4.0
28,P1,C,Disagree,Disagree,Neither agree nor disagree,Hopeful,Pleasant,2.0,2.0,3.0,4.0,4.0
1,P26,C,Disagree,Disagree,Agree,Very hopeful,Pleasant,2.0,2.0,4.0,5.0,4.0
2,P26,C,Disagree,Disagree,Agree,Hopeful,Pleasant,2.0,2.0,4.0,4.0,4.0
3,P26,C,Disagree,Neither agree nor disagree,Agree,Very hopeful,Pleasant,2.0,3.0,4.0,5.0,4.0
5,P26,C,Disagree,Agree,Agree,Very hopeful,Pleasant,2.0,4.0,4.0,5.0,4.0
6,P26,C,Disagree,Disagree,Strongly agree,Hopeful,Pleasant,2.0,2.0,5.0,4.0,4.0
7,P26,C,Agree,Neither agree nor disagree,Agree,Hopeful,Very pleasant,4.0,3.0,4.0,4.0,5.0
8,P26,C,Disagree,Disagree,Agree,Very hopeful,Pleasant,2.0,2.0,4.0,5.0,4.0
9,P26,C,Disagree,Disagree,Strongly agree,Very hopeful,Very pleasant,2.0,2.0,5.0,5.0,5.0
10,P26,C,Disagree,Disagree,Strongly agree,Very hopeful,Very pleasant,2.0,2.0,5.0,5.0,5.0
11,P26,C,Disagree,Disagree,Strongly agree,Very hopeful,Very pleasant,2.0,2.0,5.0,5.0,5.0
12,P26,C,Disagree,Disagree,Strongly agree,Hopeful,Very pleasant,2.0,2.0,5.0,4.0,5.0
13,P26,C,Disagree,Disagree,Strongly agree,Neither hopeful nor hopeless,Pleasant,2.0,2.0,5.0,3.0,4.0
14,P26,C,Disagree,Disagree,Agree,Hopeful,Pleasant,2.0,2.0,4.0,4.0,4.0
15,P26,C,Disagree,Disagree,Agree,Hopeful,Pleasant,2.0,2.0,4.0,4.0,4.0
17,P26,C,Disagree,Disagree,Agree,Hopeful,Pleasant,2.0,2.0,4.0,4.0,4.0
18,P26,C,Disagree,Disagree,Strongly agree,Very hopeful,Pleasant,2.0,2.0,5.0,5.0,4.0
19,P26,C,Disagree,Disagree,Agree,Hopeful,Unpleasant,2.0,2.0,4.0,4.0,2.0
22,P26,C,Disagree,Disagree,Agree,Neither hopeful nor hopeless,Unpleasant,2.0,2.0,4.0,3.0,2.0
23,P26,C,Disagree,Neither agree nor disagree,Agree,Very hopeful,Pleasant,2.0,3.0,4.0,5.0,4.0
