uid,group,day,hk_stepcount,hk_activeenergyburned,hk_appleexercisetime,hk_distancewalkingrunning,hk_workout_count,week
P32,treatment,-18,5679.381538461539,687.3400000000003,7.0,2.0532847960720804,0,-2
P32,treatment,-17,6018.6923076923085,699.3350000000005,16.0,1.657763819865465,0,-2
P32,treatment,-16,4356.344942098474,719.7950000000001,7.0,1.584260278487559,0,-2
P32,treatment,-15,4934.384615384615,2336.2000000000007,,1.7065411838673263,0,-2
P32,treatment,-14,5119.076923076923,1603.0999999999997,,0.5578009451732376,0,-2
P32,treatment,-13,3654.461538461539,907.3,,1.2297614886702333,0,-1
P32,treatment,-12,4321.769230769231,934.1,,1.4950692578447962,0,-1
P32,treatment,-11,3654.8361204013377,435.9999999999999,,1.6399122462875126,0,-1
P32,treatment,-10,3743.9641241393256,1675.2700000000002,6.0,1.549913779928462,0,-1
P32,treatment,-9,2116.635451505016,1236.8,,0.5144696610569143,0,-1
P32,treatment,-8,2644.849899665552,2473.9529999999995,3.0,0.6143814969331943,0,-1
P32,treatment,-7,4366.061416760398,753.4770000000017,32.0,1.8785377665110672,1,-1
P32,treatment,-6,3080.163879598662,843.6999999999999,,0.3992593435263916,0,0
P32,treatment,-5,6711.9555354087615,640.6140000000012,39.0,2.9293626456422075,2,0
P32,treatment,-4,4712.693016191454,902.1260000000002,2.0,1.4561079879330574,0,0
P32,treatment,-3,4653.104559605053,461.34599999999887,31.0,2.1343084061419395,1,0
P32,treatment,-2,4099.184975205972,765.894,4.0,1.6648761545772806,0,0
P32,treatment,-1,8147.297658862876,3012.5000000000005,,3.579866061638053,0,0
P32,treatment,0,371.5384615384616,202.599,,0.1493200142286515,0,0
P32,treatment,1,6573.394584780996,824.9100000000012,47.0,2.5147352423239804,2,1
P32,treatment,2,6906.524198289674,1203.977,11.0,2.541093774632326,0,1
P32,treatment,3,6704.047963435617,1123.075999999999,34.0,2.768200140947578,1,1
P32,treatment,4,4200.124638881193,617.522,8.0,1.8405341736418213,0,1
P32,treatment,5,6509.622519509477,2488.6000000000013,30.0,2.252866700426441,1,1
P32,treatment,6,4555.110367892978,681.2929999999997,3.0,1.541995180570241,0,1
P32,treatment,7,5614.333122541497,1145.477999999997,32.0,2.030221786627392,1,1
P32,treatment,8,7764.2518714304415,1086.0800000000024,82.0,3.169861978727241,3,2
P32,treatment,9,1907.538461538462,879.0,,0.5615167924635985,0,2
P32,treatment,10,6238.588634036479,815.8430000000005,39.0,2.6148856658345583,1,2
P32,treatment,11,6597.464862403807,1207.3759999999977,36.0,2.335201649096617,1,2
P32,treatment,12,4884.518394648831,1919.5000000000005,,0.5243867650745563,0,2
P32,treatment,13,3446.0,400.3500000000002,6.0,1.599318914144782,0,2
P32,treatment,14,7312.126186974018,1886.1799999999976,31.0,2.404271543212648,1,2
P32,treatment,15,6834.416125597265,1031.6249999999936,61.0,2.722251998239825,2,3
P32,treatment,16,6425.704283119959,968.684,35.0,2.615752390611335,1,3
P32,treatment,17,3181.6043928178005,360.491,5.0,1.2711591204050765,0,3
P32,treatment,18,6144.882445,656.3999999999993,27.0,2.451971018372422,1,3
P32,treatment,19,6038.668896,796.4530000000007,17.0,2.2809851343940184,1,3
P32,treatment,20,4282.739130434782,2052.1000000000004,,0.7982487827170374,0,3
P32,treatment,21,1890.1842140468227,798.0999999999999,,0.5399148850215273,0,3
P32,treatment,22,6027.794764807785,1267.7280000000028,59.0,2.4053389394061147,2,4
P32,treatment,23,7540.439257077771,716.871,40.0,2.9172156687857638,1,4
P32,treatment,24,5102.297658862876,424.8929999999999,5.0,2.16264696818012,0,4
P32,treatment,25,7051.335504343325,961.6409999999996,30.0,2.584165233621791,1,4
P32,treatment,26,6649.701039234647,1278.9219999999975,21.0,2.368038096608028,1,4
P32,treatment,27,2818.143813,1491.7990000000002,8.0,1.1713956225957949,0,4
P32,treatment,28,1949.695652173913,1398.4000000000003,,0.2623956693864241,0,4
P32,treatment,29,2906.661081382386,845.9999999999998,,0.3687817443654771,0,5
P32,treatment,30,3925.3022185061313,1361.2000000000005,,0.7395743526829952,0,5
P32,treatment,31,5804.966574642739,973.2749999999984,35.0,2.451758716825492,1,5
P32,treatment,32,6015.389609786125,1784.676999999996,29.0,2.212366767066457,1,5
P32,treatment,33,2661.591973244147,782.8700000000006,5.0,1.031426015356086,0,5
P32,treatment,34,3429.0713828153566,966.6190000000004,8.0,1.2352361475115838,0,5
P32,treatment,35,3485.538461538462,2191.1,,0.9737071955477994,0,5
P33,control,-88,3737.0,654.7950000000003,11.0,1.821344364,0,-12
P33,control,-87,4367.545553,666.2609999999995,7.0,2.145036600260791,0,-12
P33,control,-86,4499.0,849.1249999999945,49.0,2.1757331486252127,1,-12
P33,control,-85,5861.0,985.6329999999974,47.0,2.7993873275078087,1,-12
P33,control,-84,9812.0,967.1240000000012,16.0,4.827330363145028,0,-12
P33,control,-83,4656.0,681.2900000000004,4.0,2.207507305920445,0,-11
P33,control,-82,3110.0,629.5490000000001,10.0,1.5235123786161069,0,-11
P33,control,-81,2727.75056608566,570.9210000000003,1.0,1.3136671859669096,0,-11
P33,control,-80,5312.410863,893.6779999999992,46.0,2.626130547,2,-11
P33,control,-79,4236.0,1022.8349943384212,6.0,2.050237238990249,0,-11
P33,control,-78,3703.980630101973,805.7800717255976,5.0,1.7976993388886422,0,-11
P33,control,-77,3851.0,567.0149339359815,5.0,1.852570451231626,0,-11
P33,control,-76,6229.4196511078735,760.3809999999991,7.0,2.9825947277277622,0,-10
P33,control,-75,3345.0,516.4999999999998,,1.5825730670237077,0,-10
P33,control,-74,5807.0,658.5045279590112,7.0,2.8156550188528837,1,-10
P33,control,-73,3914.0,702.1788603826902,,1.888004000017724,0,-10
P33,control,-72,6546.0,751.9024226788273,19.0,3.2482064731436093,1,-10
P33,control,-71,6126.0,1344.3611889794531,73.0,3.0320037235209445,2,-10
P33,control,-70,8652.0,837.3649999999999,20.0,4.228775974981119,0,-10
P33,control,-69,7071.0,751.92,9.0,3.409668453335388,0,-9
P33,control,-68,6473.0,760.1720000000004,14.0,3.179303027834474,0,-9
P33,control,-67,2905.4528134791944,429.963,1.0,1.3900624306690463,0,-9
P33,control,-66,5960.110300768155,818.6390000000001,19.0,2.860461467856721,0,-9
P33,control,-65,9543.564418,1081.4810000000004,56.0,4.503370378835802,1,-9
P33,control,-64,6704.0,2.646,1.0,3.1494847155498977,0,-9
